wrong 	math 	2.5secs 	7 + 12 	What is 7 + 12? 	!= 	null 	RunAve=runAve math: 15/19 78% 5.1secs 	Sat Jan 16 2021 12:23:11 GMT-0600 (Central Standard Time)
correct 	math 	0.9secs 	-1 + 1 	What is -1 + 1? 	== 	0 	RunAve=runAve math: 16/20 80% 4.9secs 	Sat Jan 16 2021 12:23:30 GMT-0600 (Central Standard Time)
correct 	math 	3.0secs 	-1 + 2 	What is -1 + 2? 	== 	1 	RunAve=runAve math: 17/21 80% 4.8secs 	Sat Jan 16 2021 12:23:52 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	-1 + 3 	What is -1 + 3? 	== 	2 	RunAve=runAve math: 18/22 81% 4.7secs 	Sat Jan 16 2021 12:24:11 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	7 + 10 	What is 7 + 10? 	== 	17 	RunAve=runAve math: 19/23 82% 4.6secs 	Sat Jan 16 2021 12:24:31 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	7 + 11 	What is 7 + 11? 	== 	18 	RunAve=runAve math: 20/24 83% 4.5secs 	Sat Jan 16 2021 12:24:50 GMT-0600 (Central Standard Time)
wrong 	math 	1.6secs 	7 + 12 	What is 7 + 12? 	!= 	null 	RunAve=runAve math: 20/25 80% 4.4secs 	Sat Jan 16 2021 12:25:10 GMT-0600 (Central Standard Time)
correct 	math 	1.2secs 	7 + 10 	What is 7 + 10? 	== 	17 	RunAve=runAve math: 20/25 80% 4.2secs 	Sat Jan 16 2021 12:25:30 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	7 + 11 	What is 7 + 11? 	== 	18 	RunAve=runAve math: 20/25 80% 4.1secs 	Sat Jan 16 2021 12:25:50 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	7 + 12 	What is 7 + 12? 	== 	19 	RunAve=runAve math: 20/25 80% 4.1secs 	Sat Jan 16 2021 12:26:11 GMT-0600 (Central Standard Time)
correct 	math 	1.0secs 	6 + -4 	What is 6 + -4? 	== 	2 	RunAve=runAve math: 20/25 80% 3.4secs 	Sat Jan 16 2021 12:26:30 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	hamper 	ham___ 	== 	___per 	RunAve=runAve spelling: 19/25 76% 8.5secs 	Sat Jan 16 2021 12:26:51 GMT-0600 (Central Standard Time)
