wrong 	Fri Jan 08 2021 13:23:35 GMT-0600 (Central Standard Time) 	8061 	What is 0 - -11? 	!= 14
wrong 	1.7secs 	What is 110 / 11? 	!= 	11 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:35:52 GMT-0600 (Central Standard Time)
correct 	1.2secs 	What is 11 * 10? 	== 	110 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:36:12 GMT-0600 (Central Standard Time)
correct 	1.5secs 	What is 10 * 11? 	== 	110 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:36:32 GMT-0600 (Central Standard Time)
correct 	1.4secs 	What is 110 / 11? 	== 	10 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:36:52 GMT-0600 (Central Standard Time)
wrong 	3.3secs 	What is 110 / 10? 	!= 	10 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:37:14 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is 10 * 11? 	== 	110 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:37:33 GMT-0600 (Central Standard Time)
correct 	2.6secs 	What is 11 * 10? 	== 	110 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:37:53 GMT-0600 (Central Standard Time)
correct 	3.9secs 	What is 110 / 10? 	== 	11 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:38:14 GMT-0600 (Central Standard Time)
correct 	2.9secs 	What is 110 / 11? 	== 	10 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:38:33 GMT-0600 (Central Standard Time)
correct 	2.2secs 	What is 8 + 9? 	== 	17 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:38:53 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 0 * 10? 	== 	0 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:39:29 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is 0 + 4? 	== 	4 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:41:00 GMT-0600 (Central Standard Time)
correct 	1.6secs 	What is 8 + 6? 	== 	14 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:41:20 GMT-0600 (Central Standard Time)
correct 	1.7secs 	What is 9 * 2? 	== 	18 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:41:40 GMT-0600 (Central Standard Time)
correct 	1.8secs 	What is 10 * 0? 	== 	0 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:42:00 GMT-0600 (Central Standard Time)
correct 	3.0secs 	What is 0 + 2? 	== 	2 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:42:21 GMT-0600 (Central Standard Time)
correct 	4.1secs 	What is 11 * 10? 	== 	110 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:42:42 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 6 * -10? 	== 	-60 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:43:00 GMT-0600 (Central Standard Time)
correct 	1.7secs 	What is 3 + 0? 	== 	3 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:43:20 GMT-0600 (Central Standard Time)
correct 	3.4secs 	What is 0 + 10? 	== 	10 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:43:41 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 7 * 4? 	== 	28 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:44:00 GMT-0600 (Central Standard Time)
correct 	1.1secs 	What is 99 / 9? 	== 	11 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:44:19 GMT-0600 (Central Standard Time)
correct 	1.3secs 	What is 7 - 7? 	== 	0 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:44:39 GMT-0600 (Central Standard Time)
correct 	1.5secs 	What is 7 * 6? 	== 	42 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:45:00 GMT-0600 (Central Standard Time)
correct 	3.7secs 	What is -1 * 1? 	== 	-1 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:45:22 GMT-0600 (Central Standard Time)
correct 	2.3secs 	What is 24 / 3? 	== 	8 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:45:40 GMT-0600 (Central Standard Time)
correct 	1.6secs 	What is 6 * 0? 	== 	0 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:46:00 GMT-0600 (Central Standard Time)
